episode,full_s42,full_s1042,full_s2042,full-uninformed_s42,full-uninformed_s1042,full-uninformed_s2042,no-aux_s42,no-aux_s1042,no-aux_s2042,no-transformer_s42,no-transformer_s1042,no-transformer_s2042,no-transformer-uninformed_s42,no-transformer-uninformed_s1042,no-transformer-uninformed_s2042,onehot-ff_s42,onehot-ff_s1042,onehot-ff_s2042,full-tokenread_s42,full-tokenread_s1042,full-tokenread_s2042,perceiver_s42,perceiver_s1042,perceiver_s2042,perceiver-shared_s42,perceiver-shared_s1042,perceiver-shared_s2042,perceiver-shared-v2_s42,perceiver-shared-v2_s1042,perceiver-shared-v2_s2042,readout-actor_s42,readout-actor_s1042,readout-critic_s42
25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,-0.5048,-0.2374,-0.3260,,,,,,,,,,,,,,,,,,,,,,-0.4582,-0.4716,-0.3252,-0.4704,-0.5800,-0.3396,,,
175000,-0.3040,-0.3932,-0.2040,,,,,,,,,,,,,,,,,,,-0.6568,-0.4848,-0.5686,-0.2954,-0.3572,-0.1470,-0.3952,-0.4710,-0.2818,,,
200000,-0.2030,-0.2356,-0.2240,,,,,,,,,,,,,-0.2782,-0.2874,-0.1608,,,,-0.3596,-0.2632,-0.6882,-0.2772,-0.4996,-0.3536,-0.2874,-0.5012,-0.2674,,,
225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300000,-0.3164,-0.1394,-0.1730,,,,,,,,,,,,,-0.2940,-0.2194,-0.2100,,,,-0.4006,-0.3242,-0.5922,,,,-0.2026,-0.1680,-0.4192,,,
325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,-0.0554,-0.2530,-0.1188,,,,,,,,,,,,,-0.1932,-0.3766,-0.1950,,,,-0.3952,-0.3482,-0.3468,,,,-0.0846,-0.1372,-0.1660,,,
375000,-0.1224,0.0034,-0.0170,,,,,,,,,,,,,-0.2498,-0.2526,-0.2488,,,,-0.3534,-0.2584,-0.4100,,,,-0.1948,-0.1908,-0.1180,,,
400000,-0.1506,-0.0200,-0.0378,,,,,,,,,,,,,-0.3300,-0.1438,-0.2396,,,,-0.1260,-0.2484,-0.3998,,,,-0.1736,-0.1222,-0.0628,,,
